"","spp","Predicted","SE","lower","upper","point"
"1","apop",0.999999682516959,0.000123637917218771,0,1,"Cha"
"2","apop",0.999999682516959,0.000123637917218771,0,1,"Chb"
"3","apop",0.999999682516959,0.000123637917218771,0,1,"Chc"
"4","apop",0.999999682516959,0.000123637917218771,0,1,"Fa"
"5","apop",0.999999682516959,0.000123637917218771,0,1,"Fb"
"6","apop",0.999999682516959,0.000123637917218771,0,1,"Fc"
"7","apop",0.999999682516959,0.000123637917218771,0,1,"Ga"
"8","apop",0.999999682516959,0.000123637917218771,0,1,"Gb"
"9","apop",0.999999682516959,0.000123637917218771,0,1,"Gc"
"10","apop",0.999999682516959,0.000123637917218771,0,1,"Ia"
"11","apop",0.999999682516959,0.000123637917218771,0,1,"Ib"
"12","apop",0.999999682516959,0.000123637917218771,0,1,"Ic"
"13","apop",0.999999682516959,0.000123637917218771,0,1,"Ja"
"14","apop",0.999999682516959,0.000123637917218771,0,1,"Jb"
"15","apop",0.999999682516959,0.000123637917218771,0,1,"Jc"
"16","apop",0.999999682516959,0.000123637917218771,0,1,"Lsa"
"17","apop",0.999999682516959,0.000123637917218771,0,1,"Lsb"
"18","apop",0.999999682516959,0.000123637917218771,0,1,"Lsc"
"19","apop",0.999999682516959,0.000123637917218771,0,1,"Lta"
"20","apop",0.999999682516959,0.000123637917218771,0,1,"Ltb"
"21","apop",0.999999682516959,0.000123637917218771,0,1,"Ltc"
"22","apop",0.999999682516959,0.000123637917218771,0,1,"Ma"
"23","apop",0.999999682516959,0.000123637917218771,0,1,"Mb"
"24","apop",0.999999682516959,0.000123637917218771,0,1,"Mc"
"25","apop",0.999999682516959,0.000123637917218771,0,1,"Pa"
"26","apop",0.999999682516959,0.000123637917218771,0,1,"Pb"
"27","apop",0.999999682516959,0.000123637917218771,0,1,"Pc"
"28","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fa"
"29","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fb"
"30","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Fc"
"31","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Lta"
"32","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ltb"
"33","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ltc"
"34","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Ma"
"35","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Mb"
"36","clma",0.999986582460473,0.000323980438459159,2.08400851183033e-16,1,"Mc"
"37","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ga"
"38","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Gb"
"39","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Gc"
"40","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ia"
"41","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ib"
"42","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Ic"
"43","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pa"
"44","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pb"
"45","dima",0.999971503130913,0.00197820439515118,2.84797964282849e-55,1,"Pc"
"46","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Cha"
"47","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Chb"
"48","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Chc"
"49","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fa"
"50","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fb"
"51","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Fc"
"52","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ga"
"53","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Gb"
"54","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Gc"
"55","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ia"
"56","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ib"
"57","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ic"
"58","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ja"
"59","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Jb"
"60","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Jc"
"61","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lsa"
"62","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lsb"
"63","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lsc"
"64","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Lta"
"65","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ltb"
"66","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ltc"
"67","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Ma"
"68","gaga",0.0526596950147754,0.0294483153934988,0.0171782521261974,0.150225638446183,"Mb"
