"","spp","Predicted","SE","lower","upper","island"
"1","apop",7.27175960636048,0.48621360331761,6.3786004233137,8.28998279613594,"Rota"
"2","apop",3.31486928645411,0.620126475670964,2.29735744081295,4.78304254752296,"Saipan"
"3","apop",6.09438966972165,0.839850756987916,4.65188018637072,7.9842093859659,"Tinian"
"4","clma",8.52676563731062,0.314116604454178,7.93280911328578,9.16519371578656,"Saipan"
"5","dima",6.97827462372587,0.642184622082347,5.82659925682258,8.35758811919596,"Rota"
"6","gaga",5.70842042054552,3.40264424580996,1.77474661889091,18.3609667717328,"Rota"
"7","gaga",3.44606374153421,2.70588371856679,0.739522412458338,16.0581411876895,"Saipan"
"8","gaga",4.02448026630066,3.09487678479593,0.891507356824071,18.1674792584349,"Tinian"
"9","gaxa",1.99624352741531,1.12589347008477,0.660892285393495,6.02970908999923,"Rota"
"10","gaxa",4.20290169904626,2.1423988863485,1.5475880701775,11.4141372838445,"Saipan"
"11","gaxa",5.91318054484891,2.47217465848578,2.60586510399642,13.4180791255677,"Tinian"
"12","mota",7.89857544567668,0.316056111732593,7.30278510928382,8.54297273402377,"Tinian"
"13","myru",1.73332265194424,0.763895287205082,0.730710038335642,4.11162740091299,"Rota"
"14","myru",4.91207615685818,1.82099548635575,2.3752497549315,10.15829687833,"Saipan"
"15","myru",2.88422774014383,1.15216573121626,1.3182540136008,6.31044515790435,"Tinian"
"16","ptro",1.6886949028955,0.224083453677454,1.3019669307173,2.190294091029,"Rota"
"17","ptro",1.98575198958339,0.248788805986359,1.55339020726463,2.53845488769881,"Saipan"
"18","ptro",1.56993813840963,0.214034715469053,1.20180912163629,2.05082963181153,"Tinian"
"19","rhru",7.61052921382329,0.364260756287566,6.92905521378108,8.35902632140402,"Rota"
"20","rhru",7.71327088090711,0.344866002337995,7.06611559472836,8.41969635009016,"Saipan"
"21","rhru",7.53858683430275,0.380934722562661,6.82774993053078,8.32342895339532,"Tinian"
"22","stbi",0.313224011931001,0.353937966141904,0.0341988377352962,2.86878993986672,"Rota"
"23","stbi",2.19260284506835,1.4204745317894,0.615900141862238,7.80566021898589,"Saipan"
"24","stbi",5.85527351020799,2.83680759555944,2.26542957988741,15.1336542012696,"Tinian"
"25","toch",1.69269761327683,0.316849968235003,1.17285961214245,2.44293961555996,"Rota"
"26","toch",2.13986683897211,0.36857519621402,1.52677131607328,2.99915910151454,"Saipan"
"27","toch",1.38135005733759,0.280816849367202,0.927388348051682,2.05752852611884,"Tinian"
"28","zoco",9.54617478140464,0.320169679083567,8.93883429233623,10.1947804352136,"Saipan"
"29","zoco",9.62683675847621,0.312504840963437,9.03341658694055,10.2592396888159,"Tinian"
